zcta5a,year,totpop,pov_p,edu_lths_p,unempl_p,uninsur_p,black_p
40213,2016,16117,17.116499,15.680678,9.4827585,11.648256,17.714214
40214,2012,44880,17.84688,17.541319,11.950601,14.956556,12.698307
40214,2013,46134,18.819477,18.642046,12.726604,17.397148,13.961503
40214,2014,45756,19.569515,19.636824,11.843003,15.868802,14.900778
40214,2015,45370,19.799898,19.576117,10.102747,14.384971,15.199471
40214,2016,44480,19.28092,19.11755,9.3291264,13.258858,16.133093
40215,2012,23450,35.081558,24.991272,23.041029,24.380306,33.96162
40215,2013,22747,34.248508,24.222206,20.270525,23.471228,32.663647
40215,2014,22342,35.013035,23.289902,19.073759,22.992586,33.058811
40215,2015,21052,32.274624,21.400515,15.394063,20.329304,35.29356
40215,2016,21643,29.627039,19.871374,13.00702,16.75383,33.211662
40216,2012,40697,17.687618,17.783789,13.065834,16.207693,32.705112
40216,2013,40903,19.138994,16.644138,13.365499,15.150478,34.814072
40216,2014,40844,17.027349,15.646699,11.686061,14.136746,33.838509
40216,2015,41358,18.178709,16.293896,10.641794,12.215916,35.942261
40216,2016,42371,18.445351,15.862838,9.3203344,9.5790176,37.539825
40217,2012,12102,19.005581,12.401146,10.00292,10.523683,6.8914227
40217,2013,12813,19.666456,11.891008,7.5458293,11.738078,7.6953096
40217,2014,13077,20.756315,13.078167,8.6565485,8.7173967,7.1958399
40217,2015,12972,21.565582,13.820873,9.1047249,7.5473161,5.3885293
40217,2016,12687,19.303268,14.313746,6.8325543,6.7757568,4.6819577
40218,2012,29441,21.587269,10.837109,10.370516,14.844396,36.924698
40218,2013,29834,21.234299,11.304523,9.4522858,13.973989,36.49192
40218,2014,30193,19.852942,12.514104,7.9105706,13.748574,35.369125
40218,2015,31971,19.915457,10.868449,7.3906212,11.733789,34.596977
40218,2016,31703,19.031141,9.4873791,6.2814813,10.02331,35.034538
40219,2012,38383,19.832506,18.693659,11.790793,15.985287,17.275877
40219,2013,39577,21.207697,18.465097,12.910444,17.196857,19.587133
40219,2014,39651,21.559515,17.948128,12.674486,16.074284,20.385363
40219,2015,40370,23.699291,15.775188,12.163312,14.355067,21.231112
40219,2016,39475,21.467773,14.554334,9.3193665,12.019562,20.552248
40220,2012,32610,8.2422047,7.0635595,5.7661886,9.9317312,16.194418
40220,2013,33525,9.2825203,7.3432069,5.4644232,10.505593,16.569725
40220,2014,33941,10.881031,7.7601557,5.5633955,9.5897789,17.477386
40220,2015,33009,10.820965,7.5139189,3.9883215,9.5403643,17.495228
40220,2016,33523,10.753242,7.1241832,3.7171352,7.8308511,17.438774
40222,2012,21922,6.1390252,4.0970516,4.7487669,6.7214656,6.41821
40222,2013,21628,7.2201476,4.1308517,5.529562,7.9803958,6.149436
40222,2014,21221,7.0338326,6.1428304,4.9134216,8.7220306,6.1589932
